foreign1,foreign2,definitions,level
盆地,ぼんち,basin (e.g. between mountains),JLPT N-2
毎度,まいど,each time; always; often / thank you for your continued patronage,JLPT N-2
枕,まくら,pillow; bolster / introduction (e.g. to a rakugo story); lead-in,JLPT N-2
味わう,あじわう,to taste; to savor; to savour; to relish / to appreciate; to enjoy; to relish; to digest / to experience; to go through; to taste (e.g. victory); to know (e.g. pain),JLPT N-2
無地,むじ,plain; unfigured,JLPT N-2
名詞,めいし,noun,JLPT N-2
命ずる,めいずる,to order; to command / to appoint,JLPT N-2
明け方,あけがた,dawn,JLPT N-2
迷信,めいしん,superstition; superstitious belief,JLPT N-2
鳴らす,ならす,to ring; to sound; to chime; to beat; to snort (nose); to snap (fingers) / to be popular; to be esteemed; to be reputed / to state; to insist; to complain / to fart (loudly),JLPT N-2
姪,めい,niece,JLPT N-2
免税,めんぜい,tax exemption; duty exemption,JLPT N-2
茂る,しげる,to grow thickly; to be in full leaf; to be rampant; to luxuriate; to be luxurious,JLPT N-2
毛糸,けいと,knitting wool; woollen yarn,JLPT N-2
目印,めじるし,mark; sign; landmark; benchmark,JLPT N-2
目覚まし,めざまし,alarm clock / waking up; keeping oneself awake / type of candy given to a child after it wakes up from a nap,JLPT N-2
目指す,めざす,to aim at; to have an eye on / to go toward; to head for,JLPT N-2
目次,もくじ,table of contents,JLPT N-2
目上,めうえ,superior; superiors; senior,JLPT N-2
目立つ,めだつ,to be conspicuous; to stand out,JLPT N-2
もち,餅,mochi; (sticky) rice cake,JLPT N-2
問答,もんどう,questions and answers; dialogue,JLPT N-2
矢印,やじるし,arrow (mark or symbol); directional marker or indicator,JLPT N-2
薬局,やっきょく,pharmacy; drugstore; chemist's (shop) / hospital pharmacy; dispensary,JLPT N-2
薬指,くすりゆび,ring finger; fourth finger,JLPT N-2
訳す,やくす,to translate; to interpret,JLPT N-2
油断,ゆだん,negligence; carelessness; inattention; unpreparedness,JLPT N-2
輸血,ゆけつ,blood transfusion,JLPT N-2
勇ましい,いさましい,brave; valiant; gallant; courageous / stirring; vigorous; rousing,JLPT N-2
ありがたい,有り難い,grateful; thankful; welcome; appreciated; evoking gratitude,JLPT N-2
遊園地,ゆうえんち,amusement park,JLPT N-2
夕日,ゆうひ,evening sun; setting sun,JLPT N-2
夕立,ゆうだち,(sudden) evening shower (rain),JLPT N-2
余る,あまる,to remain; to be left over; to be in excess; to be too many,JLPT N-2
預かる,あずかる,to look after; to take care of; to keep; to hold on to; to keep in custody / to be put in charge of; to be given responsibility for; to be entrusted with / to withhold (an announcement); to reserve (judgment); to leave undecided / to take upon oneself (to do); to settle (a matter) oneself,JLPT N-2
幼稚,ようち,infancy / childish; infantile; immature; primitive,JLPT N-2
容積,ようせき,capacity; volume,JLPT N-2
溶け込む,とけこむ,to melt into; to dissolve into; to merge into / to blend into (surroundings); to fit in; to adapt to; to integrate,JLPT N-2
羊毛,ようもう,wool,JLPT N-2
欲張り,よくばり,greed; avarice; covetousness; greedy person,JLPT N-2
頼もしい,たのもしい,reliable; trustworthy / hopeful; promising,JLPT N-2
落第,らくだい,failure (in an examination); failing to advance (to the next year) / falling short of the standard; not making the grade,JLPT N-2
乱暴,らんぼう,violence; assault; running riot / rough (e.g. handling); reckless; careless; coarse; rude; unreasonable (e.g. demand); wild (e.g. argument) / rape; sexual assault,JLPT N-2
裏口,うらぐち,backdoor; rear entrance,JLPT N-2
裏返す,うらがえす,to turn inside out; to turn the other way; to turn (something) over,JLPT N-2
立ち止まる,たちどまる,to stop; to halt; to stand still,JLPT N-2
留守番,るすばん,care-taking; house-sitting; house-watching; staying at home / caretaker; house-sitter,JLPT N-2
領収,りょうしゅう,receipt (of money); receiving,JLPT N-2
冷める,さめる,"to cool down; to get cold / to cool off (excitement, temper, etc.); to subside; to dampen; to fade; to wane / to be cold (eyes, expression, etc.); to be composed",JLPT N-2
冷やす,ひやす,to cool (from room temperature); to chill; to refrigerate / to calm down; to cool off; to regain one's composure; to relax / to be frightened (at); to be scared (of),JLPT N-2
恋しい,こいしい,yearned for; longed for; missed,JLPT N-2
論ずる,ろんずる,to discuss; to talk about; to deal with (a topic) / to argue; to dispute / to take into consideration; to make an issue of,JLPT N-2
和英,わえい,Japanese-English,JLPT N-2
和服,わふく,Japanese clothes,JLPT N-2
椀,わん,bowl (wooden),JLPT N-2
丼,どんぶり,porcelain bowl / bowl of rice with food on top,JLPT N-2
曖昧,あいまい,vague; ambiguous; unclear / fuzzy,JLPT N-2
洒落,しゃれ,joke; pun; jest; witticism; wordplay / smartly dressed; stylish; fashion-conscious; refined,JLPT N-2
まぶた,瞼,eyelid; eyelids,JLPT N-2
やけど,火傷,burn; scald,JLPT N-2
脅かす,おどかす,to threaten; to menace; to intimidate / to startle; to frighten; to scare,JLPT N-2
紅葉,こうよう,"autumn colours; fall colors; leaves changing color (colour) / leaves turning red; red leaves / leaves turning yellow; yellow leaves / (Japanese) maple (Acer japonicum) / venison / layered colors in garments, resembling autumn colors",JLPT N-2
小便,しょうべん,urine; piss; pee / breaking a contract,JLPT N-2
消耗,しょうもう,exhaustion; consumption; using up; dissipation; waste,JLPT N-2
寝台,しんだい,bed; couch,JLPT N-2
真っ白,まっしろ,"pure white / blank (e.g. mind, paper)",JLPT N-2
中指,なかゆび,middle finger; long finger; second finger; tall finger / middle toe; third toe,JLPT N-2
凸凹,でこぼこ,unevenness; roughness; ruggedness / inequality,JLPT N-2
鈍い,にぶい,"dull (e.g. a knife); blunt / thickheaded; obtuse; stupid / dull (sound, color, etc.); dim (light) / slow; sluggish; inert; lethargic / indulgent (esp. to the opposite sex); doting",JLPT N-2
燃やす,もやす,"to burn / to burn with (emotion, feeling); to be fired up",JLPT N-2
白髪,しらが,white hair; grey hair; gray hair,JLPT N-2
末っ子,すえっこ,youngest child,JLPT N-2
